Array Size,, Cutoff, Run Time
2000,,4370,3.387423315
2000,,4380,3.375704582
2000,,4390,3.363225882
2000,,4400,3.38097026
2000,,4410,3.371281304
2000,,4420,3.398695204
2000,,4430,3.401845304
2000,,4440,3.407984716
2000,,4450,3.386377193
2000,,4460,3.38459456
2000,,4470,4.28865366
2000,,4480,3.369921681
2000,,4490,3.365698149
2000,,4500,3.387482071
2000,,4510,3.406797593
2000,,4520,3.413806871
2000,,4530,3.403165638
2000,,4540,3.414041916
2000,,4550,3.391380371
2000,,4560,3.447231004
2000,,4570,3.400810916
2000,,4580,3.387051071
2000,,4590,3.403244071
2000,,4600,3.437071738
2000,,4610,3.460458005
2000,,4620,3.389589861
2000,,4630,3.693228382
2000,,4640,3.477822463
2000,,4650,3.537305061
2000,,4660,3.496754162
2000,,4670,3.53676445
2000,,4680,3.517774039
2000,,4690,3.451325317
2000,,4700,3.457257027
2000,,4710,3.46830575
2000,,4720,3.392579283
2000,,4730,3.454502804
2000,,4740,3.406256983
2000,,4750,3.402009927
2000,,4760,3.437996282
2000,,4770,3.495085005
2000,,4780,3.529857006
2000,,4790,3.463964606
2000,,4800,3.415632672
2000,,4810,5.093039571
2000,,4820,3.553772268
2000,,4830,3.679323606
2000,,4840,3.921081685
2000,,4850,4.38969401
2000,,4860,4.547294271
2000,,4870,3.658252762
2000,,4880,3.661594841
2000,,4890,3.680671407
2000,,4900,3.730801752
2000,,4910,3.48334683
2000,,4920,4.536312294
2000,,4930,4.42198205
2000,,4940,3.475702905
2000,,4950,3.403945361
2000,,4960,5.187223593
2000,,4970,3.430744147
2000,,4980,3.84883436
2000,,4990,3.521868365
2000,,5000,3.466048984
