Array Size,, Cutoff, Run Time,,
100000,,4540,11.43647005,-1.88750953,
100000,,4550,13.67375451,-2.23728446,
100000,,4560,9.76749139,3.90626312,
100000,,4570,10.3484773,-0.58098591,
100000,,4580,13.27861187,-2.93013457,
100000,,4590,12.67438499,0.60422688,
100000,,4600,10.76061959,1.9137654,
100000,,4610,10.73211755,0.02850204,
100000,,4620,12.05166686,-1.31954931,
100000,,4630,10.59093323,1.46073363,
100000,,4640,9.3580572,1.23287603,
100000,,4650,10.84521947,-1.48716227,
100000,,4660,11.07813358,-0.23291411,
100000,,4670,15.0652553,-3.98712172,
100000,,4680,12.78895378,2.27630152,
100000,,4690,13.46686705,-0.67791327,
100000,,4700,8.58959892,4.87726813,
100000,,4710,14.74422219,-6.15462327,
100000,,4720,11.36983954,3.37438265,
100000,,4730,13.59702151,-2.22718197,
100000,,4740,10.87105924,2.72596227,
100000,,4750,8.49992842,2.37113082,
100000,,4760,12.82811542,-4.328187,
100000,,4770,9.82216819,3.00594723,
100000,,4780,7.11981715,2.70235104,
100000,,4790,10.20317087,-3.08335372,
100000,,4800,11.27875151,-1.07558064,
100000,,4810,11.90034479,-0.62159328,
100000,,4820,10.41915232,1.48119247,
100000,,4830,14.95613091,-4.53697859,
100000,,4840,10.51950007,4.43663084,
100000,,4850,10.89990684,-0.38040677,
100000,,4860,13.41695411,-2.51704727,
100000,,4870,7.35439562,6.06255849,
100000,,4880,10.62719636,-3.27280074,
100000,,4890,10.86599566,-0.2387993,
100000,,4900,7.53155746,3.3344382,
100000,,4910,9.4069017,-1.87534424,
100000,,4920,10.78601155,-1.37910985,
100000,,4930,14.8907663,-4.10475475,
100000,,4940,9.61737175,5.27339455,
100000,,4950,10.57204353,-0.95467178,
100000,,4960,10.10929717,0.46274636,
100000,,4970,11.60707674,-1.49777957,
100000,,4980,9.01677681,2.59029993,
100000,,4990,10.2239788,-1.20720199,
100000,,5000,9.80017899,0.42379981,
100000,,5010,10.53862602,-0.73844703,
100000,,5020,10.09933574,0.43929028,
100000,,5030,10.88128161,-0.78194587,
100000,,5040,7.70868756,3.17259405,
100000,,5050,8.39329351,-0.68460595,
100000,,5060,11.97877034,-3.58547683,
100000,,5070,9.92001588,2.05875446,
100000,,5080,10.53639748,-0.6163816,
